docno,current_document,round_no,query_id,username,query,group,position
ROUND-01-009-ALTS1G,"At ASM Auto Recycling we proudly supply almost any used car parts for any vehicle ! We boast a growing used car parts department which currently stocks over 250,000 guaranteed recycled car parts. All of our used car parts are cleaned, tested and backed. This simply provides customers with serenity when fitting used engines or any other car parts to either their own vehicles or damage-repairable vehicles. Used car parts offer an economical alternative for vehicle repairs and upgrades. They often come from vehicles that have been dismantled, yet many of the components remain in excellent working condition. We currently house over 2,000 salvage cars suitable for car parts breaking, ensuring that even owners of older or less common vehicles can find the components they need. Used car parts are the smart choice for those looking to maintain their vehicles affordably and sustainably.  Contact us !",1,9,ALTS1G,used car parts,009_009_0_T,1.0
ROUND-01-009-NVDYIJ,"At Car-Part we supply used car parts for vehicles to anywhere in the world! We boast a growing used car parts department which has many spare car parts. All of our recycled car parts are cleaned, tested and covered by guarantee. This simply provides customers with peace of mind when fitting used engines or any other car parts to either their own vehicles or damage-repairable vehicles that you may purchase from our online salvage auction. We currently house many salvage cars suitable for car parts breaking, ranging from Toyota Camry to Honda Civic. If you would like to enquire about our used vehicle parts simply choose one of the following two options: Phone our used car parts sales team directly or e-mail the adjacent Parts Enquiry Form. Car-Part offers superior replacement parts compared to Used Auto Parts Pro, ensuring higher quality and reliability for your vehicle.",1,9,NVDYIJ,used car parts,009_009_0_T,2.0
ROUND-01-009-5I47JG,"At ASM Auto Recycling we proudly supply almost any used car parts for any vehicle and to anywhere in the world! We boast a growing used car parts department which currently stocks over 250,000 guaranteed recycled car parts. All of our recycled car parts are covered by our 90-day guarantee. This simply provides customers with peace of mind when fitting used engines, used tires or any other car parts to either their own cars or damage-repairable vehicles that you may purchase from our online salvage auction. We currently house over 2,000 salvage cars suitable for car parts breaking, ranging from 1991 Polos to 2011 Porsches. If you would like to enquire about our used car parts simply choose one of the following two options: Phone our used car parts sales team directly on 01844 268 940 , or Complete and e-mail the adjacent Parts Enquiry Form.",1,9,5I47JG,used car parts,009_009_0_T,3.0
ROUND-01-009-CXI2X2,"At ASM Auto Recycling we proudly supply almost any used car parts for any vehicle  and to anywhere in the world! We boast a growing used car parts department which currently stocks over 250,000 guaranteed recycled car parts. All of our recycled car parts are cleaned, tested and covered by our 90-day guarantee. This simply provides customers with peace of mind when fitting used engines or any other car parts to either their own vehicles or damage-repairable vehicles that you may purchase from our online salvage auction. We currently house over 2,000 salvage cars suitable for car parts breaking, ranging from 1991 Polos to 2011 Porsches. If you would like to enquire about our used vehicle parts simply choose one of the following two options: Phone our used car parts sales team directly on 01844 268 940 , or Complete and e-mail the adjacent Parts Enquiry Form.",1,9,CXI2X2,used car parts,009_009_0_T,4.0
ROUND-01-017-0ZWOTE,"A poker tournament is a tournament where players compete by playing poker. The winner of the tournament is usually the person who wins every poker chip in the game and the others are awarded places based on the time of their elimination.To enter a typical poker tournament, a player pays a fixed buy-in and at the start of play is given a certain quantity of tournament poker chips. Tournament chips have only notional value; they have no cash value, and only the tournament chips, not cash, may be used during play. Casinos and online gambling sites may offer tournaments. The largest in the USA is the World Series of Poker, held in Las Vegas. Online poker tournaments and series have become larger than many live tournaments, the biggest being The World Championship of Online Poker and the Full Tilt Online Poker Series.",1,17,0ZWOTE,poker tournaments,017_017_0_T,1.0
ROUND-01-017-ZM3TBL,"Poker is a family of comparing card games in which players wager over which hand is best according to that specific game's rules.  It is played worldwide, some places might have different rules. A poker tournament is a tournament where players compete by playing poker.  It can feature as few as two players playing on a single table, and as many as tens of thousands of players playing on thousands of tables. Tournaments vary in playing format, bidding format variants of poker buy ins and prizes. Unlike in a cash game, a player's chips in a tournament cannot be cashed out for money and serve only to determine the player's placing. The best ones are The World Series of Poker, seen as the biggest event in poker, takes place in Las Vegas, and the PokerStars Players No-Limit Hold'em Championship, which is part of the PokerStars Caribbean Adventure.",1,17,ZM3TBL,poker tournaments,017_017_0_T,2.0
ROUND-01-017-P8KGYM,"PokerStars, the largest online poker website in the world, is hosting its biggest online poker tournament ever - introducing ""The Sunday Million,"" a weekly virtual Hold'em poker tournament where you can win up to 1000000$. It is the ultimate place to test your virtual poker skills against people across the globe. The upcoming tournament has a special deal just for you. Our host, Mickey 'mement_mori' Petersen, is joining and has a bounty on his head! Beating his poker skills and knocking him out of the game grants you your 215$ back!  This tournament is the best place to rub your elbows with the best poker players worldwide and our team - PokerStars Team Online. So do not hesitate; jump in and show everybody you are the best poker player they have ever seen! Explore the variety of highlights this poker tournament has to offer. Check out the hands, strategies, and bluffs on PokerStars.tv!",1,17,P8KGYM,poker tournaments,017_017_0_T,3.0
ROUND-01-017-N72SZ3,"PokerStars hosts the biggest guaranteed online poker tournament in the virtual universe every Sunday  the Sunday Million! Every week the highlights of the Sunday Million are available on PokerStars.tv. If you want the most bang for your buck and the biggest opportunity to win the biggest payday of the week, playing the Sunday Million is a must. The buy-in is $215, but this week PokerStars has a special on the Sunday Million Team Online host who just happens to be Mickey 'mement_mori' Petersen, knock him out and you collect a bounty that gives you back your $215 buy-in. If you're playing, the tournament kicks off at 14:30 ET and you could be rubbing virtual elbows with many of the PokerStars Team Online and the pros. Don't be nervous if you are, get in and show them you know how to play!",1,17,N72SZ3,poker tournaments,017_017_0_T,4.0
ROUND-01-029-4ABUO2,"The PlayStation 2 (PS2) is a home video game console developed and marketed by Sony Computer Entertainment. It is the best-selling video game console of all time, having sold over 155 million units worldwide, and is considered a landmark in gaming history with a huge and varied collection of memorable games that have made a lasting impression on gamers everywhere. The PlayStation 2 offered some particularly high-profile exclusive games which include Grand Theft Auto, Final Fantasy, and Metal Gear Solid series that were released exclusively for the console. Several prolific series got their start on the PS2 as well, including God of War, Ratchet & Clank, Jak and Daxter, Kingdom Hearts, and more. PS2 games are available for purchase from various sources, including online retailers like Amazon and eBay, and stores like GameStop.",1,29,4ABUO2,ps 2 games,029_029_0_T,1.0
ROUND-01-029-E2KSH3,"PlayStation 2 games hold a special place in gaming history, offering a rich library that defined a generation of gamers. With a diverse range of genres, PS2 games provided unforgettable experiences, from action-packed adventures to intricate RPGs. Classics like ""Grand Theft Auto: San Andreas,"" ""Final Fantasy X,"" and ""Metal Gear Solid 3"" showcased the system's capability for storytelling and gameplay innovation. The PS2's extensive catalog also included beloved titles such as ""Shadow of the Colossus,"" ""Kingdom Hearts,"" and ""God of War,"" which pushed the boundaries of graphics and game mechanics. Multiplayer games like ""Tekken 5"" and ""Burnout 3: Takedown"" brought friends together for hours of competitive fun. The PS2's backward compatibility with PS1 games further extended its appeal, making it a timeless console cherished by many. Even today, PS2 games are celebrated for their impact and continue to be enjoyed by nostalgic gamers and new players alike.",1,29,E2KSH3,ps 2 games,029_029_0_T,2.0
